file,line,control_type,action_text,current_icon,proposed_icon,tone,motion,priority,notes
patient-uniapp/src/pages/archive/profile.vue,272,AppButton,重新加载,无,action-refresh,inverse,rotate,P1,档案配置加载失败重试。
patient-uniapp/src/pages/article/detail.vue,128,AppButton,重新加载,无,action-refresh,inverse,rotate,P2,文章加载失败重试。
patient-uniapp/src/pages/auth/bind.vue,271,native-button,使用微信登录,无,wechat,primary,none,P2,保留原登录事件、loading 与 disabled。
patient-uniapp/src/pages/auth/bind.vue,281,native-button,微信手机号一键绑定或更换,无,phone-bind,primary,none,P2,保留 open-type=getPhoneNumber，运行时文案随 rebind 变化。
patient-uniapp/src/pages/auth/bind.vue,320,native-button,获取验证码,无,verification-code,primary,none,P2,保留倒计时与 disabled。
patient-uniapp/src/pages/auth/bind.vue,328,native-button,确认绑定,无,action-confirm,primary,confirm,P2,confirmLabel 为运行时文案，语义仍为确认绑定。
patient-uniapp/src/pages/consult/index.vue,594,aria-role-button,清空咨询记录,无,action-clear,primary,none,P1,清空前保留确认流程。
patient-uniapp/src/pages/consult/index.vue,620,aria-role-button,发送快捷问题,无,quick-question,primary,right,P1,v-for 模板，运行时多实例；点击后进入发送状态。
patient-uniapp/src/pages/consult/index.vue,626,aria-role-button,发送失败后重试,help,action-refresh,primary,rotate,P1,错误展示使用基础语义 status-error（tone=danger），重试动作使用 action-refresh。
patient-uniapp/src/pages/consult/index.vue,645,native-button,发送消息,none,action-send,primary,right,P1,发送中切换 status-loading 并锁定，失败恢复可点击。
patient-uniapp/src/pages/family/index.vue,71,AppButton,进入家庭成员健康空间,无,member-record,inverse,right,P2,成员卡片内操作。
patient-uniapp/src/pages/family/index.vue,88,AppButton,查看授权范围,无,permission-scope,inverse,right,P2,成员卡片内操作。
patient-uniapp/src/pages/family/index.vue,97,AppListRow,查看代操作记录,form,health-record,primary,right,P2,表单图标与记录语义冲突。
patient-uniapp/src/pages/family/index.vue,106,AppListRow,撤销成员授权,help,action-close,danger,none,P2,使用 danger 色调并保留二次确认，不用帮助图标。
patient-uniapp/src/pages/faq/index.vue,29,AppButton,重新加载,无,action-refresh,inverse,rotate,P2,FAQ 加载失败重试。
patient-uniapp/src/pages/faq/index.vue,34,aria-role-button,展开或收起 FAQ,无,nav-chevron-right,muted,right,P2,v-for 模板，运行时多实例；展开态将箭头旋转 90°。
patient-uniapp/src/pages/form/add.vue,27,AppButton,重新加载,无,action-refresh,inverse,rotate,P2,表单配置加载失败重试。
patient-uniapp/src/pages/form/admission.vue,27,AppButton,重新加载,无,action-refresh,inverse,rotate,P2,住院表单配置加载失败重试。
patient-uniapp/src/pages/form/contact.vue,51,AppButton,重新加载,无,action-refresh,inverse,rotate,P2,联络表单配置加载失败重试。
patient-uniapp/src/pages/index/index.vue,243,aria-role-button,查看提醒,clock,reminder,primary,none,P1,问候区铃铛入口，统一 reminder 语义。
patient-uniapp/src/pages/index/index.vue,250,AppButton,去完善资料,无,profile-edit,inverse,none,P1,首页资料完善主操作。
patient-uniapp/src/pages/index/index.vue,262,aria-role-button,首页异常主操作（运行时文案）,无,action-unknown,primary,none,P1,URL 与文案来自 safeFeed；需结合业务文案确认并在数据层下发语义，未确认前使用 action-unknown；tone=primary 为多语义或运行时未知模板默认值；调用方须按实际动作与控件 variant 覆盖。
patient-uniapp/src/pages/index/index.vue,267,aria-role-button,首页异常次操作（运行时文案）,无,action-unknown,primary,none,P1,URL 与文案来自 safeFeed；需结合业务文案确认并在数据层下发语义，未确认前使用 action-unknown；tone=primary 为多语义或运行时未知模板默认值；调用方须按实际动作与控件 variant 覆盖。
patient-uniapp/src/pages/index/index.vue,276,aria-role-button,首页轻提示操作（运行时文案）,无,action-unknown,primary,none,P1,动作由 softNotice.actionUrl 决定；需结合业务文案确认，未确认前使用 action-unknown；tone=primary 为多语义或运行时未知模板默认值；调用方须按实际动作与控件 variant 覆盖。
patient-uniapp/src/pages/index/index.vue,306,aria-role-button,完成计划下一任务,无,task-next,primary,right,P1,文案运行时可为“去完成/去确认”。
patient-uniapp/src/pages/index/index.vue,317,aria-role-button,查看健康计划,无,health-plan,primary,right,P1,进入计划详情。
patient-uniapp/src/pages/index/index.vue,333,AppButton,上传档案,无,upload-record,inverse,up,P1,首页建档主操作。
patient-uniapp/src/pages/index/index.vue,334,AppButton,手动创建档案,无,action-create,inverse,expand,P1,首页建档次操作。
patient-uniapp/src/pages/index/index.vue,341,aria-role-button,继续确认待处理档案,file,health-record,primary,right,P1,待处理卡片整体可点击。
patient-uniapp/src/pages/index/index.vue,355,AppActionTile,首页快捷操作,quick-* 动态资源,upload-record|medication|consult-doctor|metric-record|follow-up|service-package,primary,none,P1,v-for 模板，运行时多实例；motion 列无法用单值表达多动作，因此写 none，逐 key 以本 notes 为准：upload→up；med→none；consult→right；metric→none；follow→right；service→right。问用药与直接咨询必须拆分；tone=primary 为多语义或运行时未知模板默认值；调用方须按实际动作与控件 variant 覆盖。
patient-uniapp/src/pages/index/index.vue,373,aria-role-button,查看服务进度,none,service-detail,primary,right,P0,服务包进度卡片整体可点击。
patient-uniapp/src/pages/index/index.vue,405,AppServiceProductCard,打开推荐服务,item.icon,service-detail,primary,right,P0,v-for 模板，运行时多实例；商品类别图标按注册表解析。
patient-uniapp/src/pages/invite/form.vue,148,AppButton,重新加载,无,action-refresh,inverse,rotate,P2,邀请表单加载失败重试。
patient-uniapp/src/pages/invite/success.vue,18,click-target,去咨询,无,consult-doctor,primary,right,P2,邀请成功后的咨询入口。
patient-uniapp/src/pages/mine/index.vue,298,aria-role-button,设置与授权,lock,settings,primary,right,P2,页头独立图标按钮需 44×44 与 aria-label。
patient-uniapp/src/pages/mine/index.vue,307,native-button,更换头像,无,camera,primary,none,P2,保留 open-type=chooseAvatar。
patient-uniapp/src/pages/mine/index.vue,313,aria-role-button,查看档案,view-archive-btn.png,health-record,primary,right,P1,删除 69.46KB 文字栅格按钮，改用 AppButton 文本+图标。
patient-uniapp/src/pages/mine/index.vue,322,aria-role-button,查看或完善档案,无,profile-edit,primary,right,P1,运行时 profileActionLabel；查看态可切换 health-record。
patient-uniapp/src/pages/mine/index.vue,333,aria-role-button,健康资产入口,entry.icon（asset-*）,health-record|health-plan|health-log|member-record,primary,right,P2,v-for 模板，运行时多实例；按 records/plans/health-log/family 固定映射；tone=primary 为多语义或运行时未知模板默认值；调用方须按实际动作与控件 variant 覆盖。
patient-uniapp/src/pages/mine/index.vue,353,AppListRow,服务与订单入口,entry.icon（asset-*）,service-center|order|service-rights|privacy|data-export,primary,right,P2,v-for 模板，运行时多实例；按 serviceEntries.key 固定映射；tone=primary 为多语义或运行时未知模板默认值；调用方须按实际动作与控件 variant 覆盖。
patient-uniapp/src/pages/mine/index.vue,368,AppListRow,设置与长辈模式入口,entry.icon（asset-*）,settings|elder-mode,primary,right,P2,v-for 模板，运行时多实例；危险项若后续加入必须使用 danger 语义；tone=primary 为多语义或运行时未知模板默认值；调用方须按实际动作与控件 variant 覆盖。
patient-uniapp/src/pages/plans/detail.vue,83,AppButton,完成计划任务,task.icon,task-next|status-success,primary,right,P1,v-for 模板，运行时多实例；未完成用 task-next，已完成用 status-success 且锁定；tone=primary 为多语义或运行时未知模板默认值；调用方须按实际动作与控件 variant 覆盖。
patient-uniapp/src/pages/plans/detail.vue,93,AppActionTile,用药管理,health,medication,primary,none,P1,纠正通用健康图标。
patient-uniapp/src/pages/plans/detail.vue,94,AppActionTile,咨询当前计划,chat,plan-consult,primary,right,P1,与通用直接咨询区分。
patient-uniapp/src/pages/records/index.vue,148,AppButton,绑定健康档案,无,record-bind,inverse,none,P1,未绑定态主操作。
patient-uniapp/src/pages/records/index.vue,161,AppButton,生成健康计划,无,plan-create,inverse,expand,P1,档案完成后的计划创建。
patient-uniapp/src/pages/records/index.vue,162,AppButton,完善基础档案,无,record-edit,inverse,none,P1,档案编辑入口。
patient-uniapp/src/pages/records/index.vue,177,AppButton,去完善档案,无,profile-edit,inverse,none,P1,待完善主操作。
patient-uniapp/src/pages/records/index.vue,189,AppButton,确认待处理项目,无,action-confirm,inverse,confirm,P1,危险色不代表删除；确认后给成功状态。
patient-uniapp/src/pages/records/index.vue,201,AppListRow,打开健康记录,record.icon（服务端）,action-unknown,primary,right,P1,v-for 模板，运行时多实例；服务端值先过别名注册表，未知语义必须 action-unknown；tone=primary 为多语义或运行时未知模板默认值；调用方须按实际动作与控件 variant 覆盖。
patient-uniapp/src/pages/records/index.vue,213,AppButton,查看健康记录,无,health-record,inverse,right,P1,进入健康记录页。
patient-uniapp/src/pages/replies/index.vue,71,AppButton,重新查询,无,action-refresh,inverse,rotate,P2,查询失败重试。
patient-uniapp/src/pages/services/detail.vue,153,AppButton,返回健康服务,无,nav-back,inverse,left,P0,服务详情返回列表。
patient-uniapp/src/pages/services/index.vue,101,aria-role-button,我的服务记录,form,health-record,primary,right,P0,表单图标与记录入口不符。
patient-uniapp/src/pages/services/index.vue,108,aria-role-button,服务加载失败，点击重试,shield,action-refresh,primary,rotate,P0,失败状态显示 status-error，动作使用 action-refresh。
patient-uniapp/src/pages/services/index.vue,127,AppActionTile,按需求选择服务类别,category.icon,health-plan|medication|follow-up|rehab-guide|postop-assessment|consult-doctor|goods-order|service-rights,primary,right,P0,v-for 模板，运行时多实例；按类别 key 固定映射；tone=primary 为多语义或运行时未知模板默认值；调用方须按实际动作与控件 variant 覆盖。
patient-uniapp/src/pages/services/index.vue,141,AppServiceProductCard,查看或开通服务商品,product.icon,service-detail|service-activate,primary,right,P0,v-for 模板，运行时多实例；卡片与卡内 action 共用模板但按动作拆分图标；tone=primary 为多语义或运行时未知模板默认值；调用方须按实际动作与控件 variant 覆盖。
patient-uniapp/src/pages/services/index.vue,164,click-target,咨询如何选择服务,help,consult-doctor,primary,right,P0,服务选择帮助是咨询入口，不使用 help 兜底。
patient-uniapp/src/pages/settings/index.vue,314,AppListRow,医生管家数据授权,asset-privacy,privacy,primary,right,P2,隐私与授权范围语义。
patient-uniapp/src/pages/settings/index.vue,322,AppListRow,助手上下文共享,asset-reminders,group-service,primary,right,P2,提醒与共享语义必须拆分。
patient-uniapp/src/pages/settings/index.vue,330,AppListRow,家属授权,asset-family,permission-scope,primary,right,P2,进入家庭授权设置。
patient-uniapp/src/pages/settings/index.vue,344,AppListRow,账号安全,asset-security,account-security,primary,right,P2,锁形只保留给账号安全。
patient-uniapp/src/pages/settings/index.vue,352,AppListRow,更换绑定手机号,phone,phone-bind,primary,right,P2,进入手机号验证。
patient-uniapp/src/pages/settings/index.vue,360,AppListRow,退出登录,asset-security,account-logout,danger,none,P2,使用 danger 版本并保留确认。
patient-uniapp/src/pages/settings/index.vue,368,AppListRow,解除微信绑定,asset-security,wechat-unbind,danger,none,P2,使用 danger 版本并保留确认。
patient-uniapp/src/pages/settings/index.vue,377,AppListRow,导出健康数据,asset-data,data-export,primary,right,P2,与删除数据拆分。
patient-uniapp/src/pages/settings/index.vue,385,AppListRow,申请删除数据,asset-data,data-delete,danger,none,P2,使用 danger 版本并保留身份验证。
